Coordinate,InternalWallCount,CoverTier,CoverValue
"(0,0)",0,Open,0
"(1,0)",1,Light,25
"(2,0)",1,Light,25
"(3,0)",1,Light,25
"(4,0)",1,Light,25
"(5,0)",1,Light,25
"(6,0)",1,Light,25
"(7,0)",1,Light,25
"(8,0)",0,Open,0
"(0,1)",1,Light,25
"(1,1)",2,Medium,50
"(2,1)",0,Open,0
"(3,1)",1,Light,25
"(4,1)",2,Medium,50
"(5,1)",0,Open,0
"(6,1)",1,Light,25
"(7,1)",2,Medium,50
"(8,1)",0,Open,0
"(0,2)",1,Light,25
"(1,2)",0,Open,0
"(2,2)",2,Medium,50
"(3,2)",1,Light,25
"(4,2)",0,Open,0
"(5,2)",1,Light,25
"(6,2)",2,Medium,50
"(7,2)",0,Open,0
"(8,2)",1,Light,25
"(0,3)",1,Light,25
"(1,3)",1,Light,25
"(2,3)",1,Light,25
"(3,3)",1,Light,25
"(4,3)",1,Light,25
"(5,3)",1,Light,25
"(6,3)",1,Light,25
"(7,3)",0,Open,0
"(8,3)",1,Light,25
"(0,4)",1,Light,25
"(1,4)",2,Medium,50
"(2,4)",0,Open,0
"(3,4)",2,Medium,50
"(4,4)",2,Medium,50
"(5,4)",2,Medium,50
"(6,4)",0,Open,0
"(7,4)",2,Medium,50
"(8,4)",1,Light,25
"(0,5)",1,Light,25
"(1,5)",0,Open,0
"(2,5)",1,Light,25
"(3,5)",1,Light,25
"(4,5)",1,Light,25
"(5,5)",1,Light,25
"(6,5)",1,Light,25
"(7,5)",1,Light,25
"(8,5)",1,Light,25
"(0,6)",1,Light,25
"(1,6)",0,Open,0
"(2,6)",2,Medium,50
"(3,6)",1,Light,25
"(4,6)",0,Open,0
"(5,6)",1,Light,25
"(6,6)",2,Medium,50
"(7,6)",0,Open,0
"(8,6)",1,Light,25
"(0,7)",0,Open,0
"(1,7)",2,Medium,50
"(2,7)",1,Light,25
"(3,7)",0,Open,0
"(4,7)",2,Medium,50
"(5,7)",1,Light,25
"(6,7)",0,Open,0
"(7,7)",2,Medium,50
"(8,7)",1,Light,25
"(0,8)",0,Open,0
"(1,8)",1,Light,25
"(2,8)",1,Light,25
"(3,8)",1,Light,25
"(4,8)",1,Light,25
"(5,8)",1,Light,25
"(6,8)",1,Light,25
"(7,8)",1,Light,25
"(8,8)",0,Open,0
