From,To,Type
"(1,0)","(1,1)",InternalCover
"(2,0)","(3,0)",ZoneBoundary
"(4,0)","(4,1)",InternalCover
"(5,0)","(6,0)",ZoneBoundary
"(7,0)","(7,1)",InternalCover
"(0,1)","(1,1)",InternalCover
"(3,1)","(4,1)",InternalCover
"(6,1)","(7,1)",InternalCover
"(0,2)","(0,3)",ZoneBoundary
"(2,2)","(3,2)",ZoneBoundary
"(2,2)","(2,3)",ZoneBoundary
"(5,2)","(6,2)",ZoneBoundary
"(6,2)","(6,3)",ZoneBoundary
"(8,2)","(8,3)",ZoneBoundary
"(1,3)","(1,4)",InternalCover
"(3,3)","(4,3)",InternalCover
"(5,3)","(5,4)",InternalCover
"(0,4)","(1,4)",InternalCover
"(3,4)","(4,4)",InternalCover
"(3,4)","(3,5)",InternalCover
"(4,4)","(5,4)",InternalCover
"(7,4)","(8,4)",InternalCover
"(7,4)","(7,5)",InternalCover
"(0,5)","(0,6)",ZoneBoundary
"(2,5)","(2,6)",ZoneBoundary
"(4,5)","(5,5)",InternalCover
"(6,5)","(6,6)",ZoneBoundary
"(8,5)","(8,6)",ZoneBoundary
"(2,6)","(3,6)",ZoneBoundary
"(5,6)","(6,6)",ZoneBoundary
"(1,7)","(2,7)",InternalCover
"(1,7)","(1,8)",InternalCover
"(4,7)","(5,7)",InternalCover
"(4,7)","(4,8)",InternalCover
"(7,7)","(8,7)",InternalCover
"(7,7)","(7,8)",InternalCover
"(2,8)","(3,8)",ZoneBoundary
"(5,8)","(6,8)",ZoneBoundary
