Coordinate,Zone,ZoneName,TileType,Walkable,MajorObstacle,LootRisk,LootValue,EnemySpawn,ExtractionCandidate
"(0,0)",A,북서 보급창,Normal (선정 시 Extraction),Yes,없음,1-안전,D-낮음,금지,"(8,8) 시작"
"(1,0)",A,북서 보급창,Normal,Yes,내부 엄폐벽,1-안전,D-낮음,금지,아니오
"(2,0)",A,북서 보급창,Normal,Yes,구역 경계벽,1-안전,D-낮음,금지,아니오
"(3,0)",B,북부 정비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(4,0)",B,북부 정비동,Normal,Yes,내부 엄폐벽,2-낮음,C-보통 이하,허용,아니오
"(5,0)",B,북부 정비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(6,0)",C,북동 무기고,Normal,Yes,구역 경계벽,3-중간,B-보통,허용,아니오
"(7,0)",C,북동 무기고,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(8,0)",C,북동 무기고,Normal,Yes,없음,4-높음,A-높음,허용,아니오
"(0,1)",A,북서 보급창,Normal (선정 시 Extraction),Yes,내부 엄폐벽,1-안전,D-낮음,금지,"(8,8) 시작"
"(1,1)",A,북서 보급창,Normal,Yes,내부 엄폐벽,1-안전,D-낮음,금지,아니오
"(2,1)",A,북서 보급창,Normal,Yes,없음,2-낮음,C-보통 이하,허용,아니오
"(3,1)",B,북부 정비동,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(4,1)",B,북부 정비동,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(5,1)",B,북부 정비동,Normal,Yes,없음,3-중간,B-보통,허용,아니오
"(6,1)",C,북동 무기고,Normal,Yes,내부 엄폐벽,3-중간,B-보통,허용,아니오
"(7,1)",C,북동 무기고,Normal,Yes,내부 엄폐벽,4-높음,A-높음,허용,아니오
"(8,1)",C,북동 무기고,Normal,Yes,없음,3-중간,B-보통,허용,아니오
"(0,2)",A,북서 보급창,Normal (선정 시 Extraction),Yes,구역 경계벽,1-안전,D-낮음,금지,"(8,8) 시작"
"(1,2)",A,북서 보급창,Normal,Yes,없음,2-낮음,C-보통 이하,허용,아니오
"(2,2)",A,북서 보급창,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
"(3,2)",B,북부 정비동,Normal,Yes,구역 경계벽,2-낮음,C-보통 이하,허용,아니오
