Coordinate,North,South,East,West
"(0,0)",Boundary,Open,Open,Boundary
"(1,0)",Boundary,Wall,Open,Open
"(2,0)",Boundary,Open,Wall,Open
"(3,0)",Boundary,Open,Open,Wall
"(4,0)",Boundary,Wall,Open,Open
"(5,0)",Boundary,Open,Wall,Open
"(6,0)",Boundary,Open,Open,Wall
"(7,0)",Boundary,Wall,Open,Open
"(8,0)",Boundary,Open,Boundary,Open
"(0,1)",Open,Open,Wall,Boundary
"(1,1)",Wall,Open,Open,Wall
"(2,1)",Open,Open,Open,Open
"(3,1)",Open,Open,Wall,Open
"(4,1)",Wall,Open,Open,Wall
"(5,1)",Open,Open,Open,Open
"(6,1)",Open,Open,Wall,Open
"(7,1)",Wall,Open,Open,Wall
"(8,1)",Open,Open,Boundary,Open
"(0,2)",Open,Wall,Open,Boundary
"(1,2)",Open,Open,Open,Open
"(2,2)",Open,Wall,Wall,Open
"(3,2)",Open,Open,Open,Wall
"(4,2)",Open,Open,Open,Open
"(5,2)",Open,Open,Wall,Open
"(6,2)",Open,Wall,Open,Wall
"(7,2)",Open,Open,Open,Open
"(8,2)",Open,Wall,Boundary,Open
"(0,3)",Wall,Open,Open,Boundary
"(1,3)",Open,Wall,Open,Open
"(2,3)",Wall,Open,Open,Open
"(3,3)",Open,Open,Wall,Open
"(4,3)",Open,Open,Open,Wall
"(5,3)",Open,Wall,Open,Open
"(6,3)",Wall,Open,Open,Open
"(7,3)",Open,Open,Open,Open
"(8,3)",Wall,Open,Boundary,Open
"(0,4)",Open,Open,Wall,Boundary
"(1,4)",Wall,Open,Open,Wall
"(2,4)",Open,Open,Open,Open
"(3,4)",Open,Wall,Wall,Open
"(4,4)",Open,Open,Wall,Wall
"(5,4)",Wall,Open,Open,Wall
"(6,4)",Open,Open,Open,Open
"(7,4)",Open,Wall,Wall,Open
"(8,4)",Open,Open,Boundary,Wall
"(0,5)",Open,Wall,Open,Boundary
"(1,5)",Open,Open,Open,Open
"(2,5)",Open,Wall,Open,Open
"(3,5)",Wall,Open,Open,Open
"(4,5)",Open,Open,Wall,Open
"(5,5)",Open,Open,Open,Wall
"(6,5)",Open,Wall,Open,Open
"(7,5)",Wall,Open,Open,Open
"(8,5)",Open,Wall,Boundary,Open
"(0,6)",Wall,Open,Open,Boundary
"(1,6)",Open,Open,Open,Open
"(2,6)",Wall,Open,Wall,Open
"(3,6)",Open,Open,Open,Wall
"(4,6)",Open,Open,Open,Open
"(5,6)",Open,Open,Wall,Open
"(6,6)",Wall,Open,Open,Wall
"(7,6)",Open,Open,Open,Open
"(8,6)",Wall,Open,Boundary,Open
"(0,7)",Open,Open,Open,Boundary
"(1,7)",Open,Wall,Wall,Open
"(2,7)",Open,Open,Open,Wall
"(3,7)",Open,Open,Open,Open
"(4,7)",Open,Wall,Wall,Open
"(5,7)",Open,Open,Open,Wall
"(6,7)",Open,Open,Open,Open
"(7,7)",Open,Wall,Wall,Open
"(8,7)",Open,Open,Boundary,Wall
"(0,8)",Open,Boundary,Open,Boundary
"(1,8)",Wall,Boundary,Open,Open
"(2,8)",Open,Boundary,Wall,Open
"(3,8)",Open,Boundary,Open,Wall
"(4,8)",Wall,Boundary,Open,Open
"(5,8)",Open,Boundary,Wall,Open
"(6,8)",Open,Boundary,Open,Wall
"(7,8)",Wall,Boundary,Open,Open
"(8,8)",Open,Boundary,Boundary,Open
